database_run_id,queue_ordinal,position_id,group,classification,cp_loss,expected_points_loss,dataset_split,db_passes,langsmith_llm_spans,verified_passes,forced_passes,langsmith_trace_id,langsmith_url,local_export
39a27352-b3c3-4069-9fed-923f4a8a52f9,manual,4d7fc789-d690-532e-8b1c-5de714e779a1,best/excellent/good,best,0,0.0,train,4,4,4,0,01a0cc75-267a-7091-9281-5ffec8521b1c,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0cc75-267a-7091-9281-5ffec8521b1c?trace_id=01a0cc75-267a-7091-9281-5ffec8521b1c&start_time=2026-09-23T04:10:24.762072,C:/Repos/chess_harness_v2/chess_harnessv2/backend/.test-data/langsmith-cross-reference-2026-09-23/runs/39a27352-b3c3-4069-9fed-923f4a8a52f9.jsonl
17c268cb-c5ee-4283-a0be-e058c181ef42,3,01dc9992-edb8-5f15-8c34-866113fad2b7,best/excellent/good,best,0,0.0,test,12,12,12,2,01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a?trace_id=01a0ccf9-2ae5-7433-ac1b-fcd54dcfcb3a&start_time=2026-09-23T06:34:36.645473,C:/Repos/chess_harness_v2/chess_harnessv2/backend/.test-data/langsmith-cross-reference-2026-09-23/runs/17c268cb-c5ee-4283-a0be-e058c181ef42.jsonl
a99eb993-9935-4d53-86b4-b0c240674106,4,033aeac5-fd6d-5751-8d11-c59929de3768,best/excellent/good,best,0,0.0,test,14,14,14,1,01a0cd00-2968-7b70-a322-62b34dd24e89,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0cd00-2968-7b70-a322-62b34dd24e89?trace_id=01a0cd00-2968-7b70-a322-62b34dd24e89&start_time=2026-09-23T06:42:15.016888,C:/Repos/chess_harness_v2/chess_harnessv2/backend/.test-data/langsmith-cross-reference-2026-09-23/runs/a99eb993-9935-4d53-86b4-b0c240674106.jsonl
40762c55-55a9-427a-a545-d49b5eeb4827,6,061a3550-ab93-5083-be1c-d05870df11f7,best/excellent/good,good,40,0.026,test,14,14,14,5,01a0cd13-a60f-7052-a55f-4ac41e8e100a,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0cd13-a60f-7052-a55f-4ac41e8e100a?trace_id=01a0cd13-a60f-7052-a55f-4ac41e8e100a&start_time=2026-09-23T07:03:32.111957,C:/Repos/chess_harness_v2/chess_harnessv2/backend/.test-data/langsmith-cross-reference-2026-09-23/runs/40762c55-55a9-427a-a545-d49b5eeb4827.jsonl
c1899939-8b9b-48ff-8e18-57feeae933b9,8,09226458-8aec-55ee-99b4-9dd572b33281,best/excellent/good,best,0,0.0,test,11,11,11,3,01a0cd20-d4e9-7573-a142-8c4efd3138d3,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0cd20-d4e9-7573-a142-8c4efd3138d3?trace_id=01a0cd20-d4e9-7573-a142-8c4efd3138d3&start_time=2026-09-23T07:17:56.073130,C:/Repos/chess_harness_v2/chess_harnessv2/backend/.test-data/langsmith-cross-reference-2026-09-23/runs/c1899939-8b9b-48ff-8e18-57feeae933b9.jsonl
aa53bf77-5427-4a41-9a45-7ea6fe601f95,11,0b55d6c8-cf80-579d-a5c0-80d30bb189f6,best/excellent/good,best,0,0.0,test,8,8,8,1,01a0cd33-adad-7872-bc95-0f61105d1c28,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0cd33-adad-7872-bc95-0f61105d1c28?trace_id=01a0cd33-adad-7872-bc95-0f61105d1c28&start_time=2026-09-23T07:38:31.213753,C:/Repos/chess_harness_v2/chess_harnessv2/backend/.test-data/langsmith-cross-reference-2026-09-23/runs/aa53bf77-5427-4a41-9a45-7ea6fe601f95.jsonl
f7beca34-deb7-43c5-ba71-0a09679b1786,13,0e49f859-d8cd-5ce0-95e8-595d8f5e7298,best/excellent/good,best,0,0.0,test,10,10,10,1,01a0cd42-95d9-7d33-ba27-6cecb89fc4a8,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0cd42-95d9-7d33-ba27-6cecb89fc4a8?trace_id=01a0cd42-95d9-7d33-ba27-6cecb89fc4a8&start_time=2026-09-23T07:54:48.153497,C:/Repos/chess_harness_v2/chess_harnessv2/backend/.test-data/langsmith-cross-reference-2026-09-23/runs/f7beca34-deb7-43c5-ba71-0a09679b1786.jsonl
5eeef0d4-1973-44bf-bcc7-5e5532b463b8,15,101d4ec7-52cf-525d-81b2-36d4f0e85c1a,best/excellent/good,best,0,0.0,test,10,10,10,2,01a0cd51-153f-73d2-855b-95d2576c5a28,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0cd51-153f-73d2-855b-95d2576c5a28?trace_id=01a0cd51-153f-73d2-855b-95d2576c5a28&start_time=2026-09-23T08:10:38.271596,C:/Repos/chess_harness_v2/chess_harnessv2/backend/.test-data/langsmith-cross-reference-2026-09-23/runs/5eeef0d4-1973-44bf-bcc7-5e5532b463b8.jsonl
b6b00819-063b-46dd-9edd-50ce3c7bdfe0,17,1525113c-587d-5164-bf95-1a448a8ea90c,best/excellent/good,excellent,10,0.001,test,14,14,14,3,01a0cd5a-0256-7481-b5e6-32f7a89a5e3e,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0cd5a-0256-7481-b5e6-32f7a89a5e3e?trace_id=01a0cd5a-0256-7481-b5e6-32f7a89a5e3e&start_time=2026-09-23T08:20:23.254669,C:/Repos/chess_harness_v2/chess_harnessv2/backend/.test-data/langsmith-cross-reference-2026-09-23/runs/b6b00819-063b-46dd-9edd-50ce3c7bdfe0.jsonl
20ed06f5-8024-40ba-85ea-632d47273610,27,2546be02-691e-56cf-ab6f-3187bf97f939,best/excellent/good,excellent,17,0.015,test,6,6,6,1,01a0cd9e-8105-7d93-b07a-df05272071c5,https://smith.langchain.com/o/f737b7dd-6e97-420d-ac1b-32d2ba8151dc/projects/p/44268025-cf8d-4314-a3b1-7c9542c19c4c/r/01a0cd9e-8105-7d93-b07a-df05272071c5?trace_id=01a0cd9e-8105-7d93-b07a-df05272071c5&start_time=2026-09-23T09:35:12.133153,C:/Repos/chess_harness_v2/chess_harnessv2/backend/.test-data/langsmith-cross-reference-2026-09-23/runs/20ed06f5-8024-40ba-85ea-632d47273610.jsonl
