run_id,position_id,ordinal,classification,status,phase,position_type,split,cp_loss,cp_band,expected_points_loss,best_expected_points,chosen_move,best_move,passes,failed_passes,format_retry_failures,rejected_tool_passes,parsed_calls,attempted_calls,successful_calls,rejected_calls,rolled_back_calls,plays,annotations,inspections,resets,undos,submits,annotation_only_passes,inferred_forced_passes,forced_submissions,repeated_notes,adjacent_note_pairs,repeated_normal_notes,normal_adjacent_pairs,correction_cue_passes,pass_elapsed_minutes,candidates,max_depth,chosen_depth,chosen_reply_count,engine_best_tested,notes_chars,mean_notes_chars,mean_normal_notes_chars,mean_forced_notes_chars,final_notes_chars,final_uncertainty_cue,final_correction_cue,pv_reply_eligible,pv_reply_tested
4ede616a-fb74-4a72-9c18-8819d43e54f7,0d2463eb-8582-55ca-a9ae-00693ed04b37,manual,,completed,middlegame,quiet,train,,mate / no numeric CP,,,Rf8,,15,0,0,0,28,28,28,0,0,10,10,4,3,0,1,0,0,0,0,14,0,14,2,1.43540735,4,3,3,1,False,10206,680.4,680.4,,764,True,False,False,False
39a27352-b3c3-4069-9fed-923f4a8a52f9,4d7fc789-d690-532e-8b1c-5de714e779a1,manual,best,completed,middlegame,quiet,train,0,0-20,0.0,0.5125,Bg3,Bg3,4,0,0,0,7,7,7,0,0,3,3,0,0,0,1,0,0,0,0,3,0,3,0,3.0630758166666663,1,3,3,1,True,4631,1157.75,1157.75,,964,False,False,True,False
bfffe367-a1cf-4594-b9e4-87dd417d5d89,00de0b63-95a2-5b8a-a562-efe4cd2e6a51,1,inaccuracy,completed,opening,quiet,test,29,21-100,0.0895,0.6445,Nf6,Ne7,12,1,1,0,22,20,20,0,0,6,6,6,1,0,1,1,1,0,2,11,1,10,2,7.897242433333333,2,4,4,1,False,9679,806.5833,792.2727,964,1035,False,False,True,False
e239ba96-b889-4b9d-931b-cd1c6c7d0d98,0123dac1-025b-5424-939a-d2d9f984ee06,2,mistake,completed,endgame,quiet,test,100,21-100,0.1615,0.501,Rf1+,f6,6,2,2,0,7,7,7,0,0,3,3,0,0,0,1,0,2,1,4,5,2,3,0,3.2080393333333332,1,3,3,1,False,6698,1116.3333,1102,1145,1145,False,False,True,False
17c268cb-c5ee-4283-a0be-e058c181ef42,01dc9992-edb8-5f15-8c34-866113fad2b7,3,best,completed,middlegame,tactical,test,0,0-20,0.0,1.0,Bxc7+,Bxc7+,12,2,2,0,19,16,16,0,0,5,6,3,1,0,1,2,2,1,2,11,1,9,2,7.30557345,2,4,4,1,True,11698,974.8333,967.5,1011.5,1215,True,True,True,True
a99eb993-9935-4d53-86b4-b0c240674106,033aeac5-fd6d-5751-8d11-c59929de3768,4,best,completed,opening,quiet,test,0,0-20,0.0,0.514,e4,e4,14,3,1,2,20,20,16,2,2,5,4,5,0,1,1,1,1,1,5,13,4,12,1,9.949591066666667,1,4,4,1,True,14039,1002.7857,979.3077,1308,1308,False,False,True,False
e435a89f-b4ae-4db4-ab16-85c17394b12f,04aabc6d-3b3e-55f1-b8f3-ad6b4944f828,5,blunder,completed,middlegame,quiet,test,80,21-100,0.208,0.7135,Nf3,f5,17,4,4,0,25,20,20,0,0,8,9,0,2,0,1,2,4,1,2,16,0,12,0,10.229699483333333,2,4,4,2,False,16323,960.1765,946.2308,1005.5,1028,False,False,True,False
40762c55-55a9-427a-a545-d49b5eeb4827,061a3550-ab93-5083-be1c-d05870df11f7,6,good,completed,middlegame,quiet,test,40,21-100,0.026,0.5275,Qf3,Qe2,14,5,5,0,15,12,12,0,0,4,7,0,0,0,1,4,5,0,6,13,3,8,0,7.290364999999999,1,4,4,1,False,15855,1132.5,1121.3333,1152.6,1141,False,False,True,False
c296b97a-e92c-45a6-98e8-3e624fc2aefe,07ec87cb-c518-59b9-8f75-57a88667df5c,7,blunder,completed,opening,quiet,test,154,101-300,0.4555,0.483,d5,O-O,9,2,1,1,16,16,14,1,1,4,6,3,0,0,1,1,1,0,1,8,1,7,0,6.299347983333332,1,4,4,1,False,9571,1063.4444,1051.125,1162,1351,True,False,True,True
c1899939-8b9b-48ff-8e18-57feeae933b9,09226458-8aec-55ee-99b4-9dd572b33281,8,best,completed,opening,tactical,test,0,0-20,0.0,1.0,Qf5+,Qf5+,11,3,3,0,16,13,13,0,0,5,6,0,1,0,1,1,3,1,7,10,4,7,0,6.1352039666666665,2,3,3,1,True,12001,1091,1064.25,1162.3333,1416,True,False,True,True
